a	s	folder	dir	p	co_wes	note
A05618	N6188353	R18063713LU01	Project_s440e03498_45samples_181031	P0105618		
A05618	T6183378	R18063714LU01	Project_s440e03498_45samples_181031	P0105618		
A05619	N6198613	R18063727LU01	Project_s440e03498_45samples_181031	P0105619		
A05619	T6198661	R18063728LU01	Project_s440e03498_45samples_181031	P0105619		
A05622	N6223303	R18063735LU01	Project_s440e03498_45samples_181031	P0105622		
A05622	T6229962	R18063736LU01	Project_s440e03498_45samples_181031	P0105622		
A05623	C6237053	R18062969LU01	Project_s440e03493_3Samples_181029	P2705623		
A05623	N6231423	R18062968LU01	Project_s440e03495_45Samples_181029	P2705623		
A05624	N6241713	R18063737LU01	Project_s440e03498_45samples_181031	P0105624		
A05624	T6248658	R18063738LU01	Project_s440e03498_45samples_181031	P0105624		
A05625	N6253263	R18062972LU01	Project_s440e03495_45Samples_181029	P0105625		
A05625	T6257431	R18062973LU01	Project_s440e03495_45Samples_181029	P0105625		
A05627	C6272147	R18062975LU01	Project_s440e03493_3Samples_181029	P2705627		
A05627	N6277783	R18062974LU01	Project_s440e03495_45Samples_181029	P2705627		
A05628	N6284533	R18062970LU01	Project_s440e03495_45Samples_181029	P0105628		
A05628	T6289172	R18062971LU01	Project_s440e03495_45Samples_181029	P0105628		
A05630	N6301563	R18062966LU01	Project_s440e03495_45Samples_181029	P0105630		
A05630	T6308922	R18062967LU01	Project_s440e03495_45Samples_181029	P0105630		
A05630	T6309962-TR	R18064288LU01	Project_s440e03500_8Samples_181105	P2305630		
A05631	N6312053	R18064337LU01	Project_s440e03503_61Samples_181105	P0105631		
A05631	T6311962	R18064338LU01	Project_s440e03503_61Samples_181105	P0105631		
A05633	N6331793	R18064299LU01	Project_s440e03503_61Samples_181105	P0105633		
A05633	T6331871	R18064300LU01	Project_s440e03501_4Samples_181105	P0105633		
A05634	N6342313	R18065770LU01	Project_s440e03515_37Samples_181114	P0105634B		
A05634	T6342431	R18065769LU01	Project_s440e03515_37Samples_181114	P0105634B		
A05634	T6345391-TR	R18066651LU01	Project_s440e03516_1Sample_181120	P2305634B		
A05635	N6354543	R18063721LU01	Project_s440e03498_45samples_181031	P0105635		
A05635	T6356641	R18063722LU01	Project_s440e03498_45samples_181031	P0105635		
A05636	N6367383	R18063723LU01	Project_s440e03498_45samples_181031	P0105636		
A05636	T6368351	R18063724LU01	Project_s440e03498_45samples_181031	P0105636		
A05637	N6378573	R18062980LU01	Project_s440e03495_45Samples_181029	P0105637		
A05637	T6372472	R18062981LU01	Project_s440e03495_45Samples_181029	P0105637		
A05639	N6393843	R18063725LU01	Project_s440e03498_45samples_181031	P0105639		
A05639	T6391971-TR	R18064955LU01	Project_s440e03507_3Samples_181107	P2305639		
A05639	T6397031	R18063726LU01	Project_s440e03498_45samples_181031	P0105639		
A05640	N6404893	R18064316LU01	Project_s440e03503_61Samples_181105	P0105640		
A05640	T6409031	R18064317LU01	Project_s440e03503_61Samples_181105	P0105640		
A05642	N6429683	R18064334LU01	Project_s440e03503_61Samples_181105	P0105642		
A05642	N6429683	R18064334LU01	Project_s440e03503_61Samples_181105	P0105642B		
A05642	T6424831	R18064336LU01	Project_s440e03503_61Samples_181105	P0105642B		
A05642	T6429141	R18064335LU01	Project_s440e03503_61Samples_181105	P0105642		
A05644	N6445853	R18063733LU01	Project_s440e03498_45samples_181031	P0105644		
A05644	T6442452	R18063734LU01	Project_s440e03498_45samples_181031	P0105644		
A05647	N6472203	R18063719LU01	Project_s440e03498_45samples_181031	P0105647		
A05647	N6472203	R18063719LU01	Project_s440e03498_45samples_181031	P010564701		
A05647	T6473852	R18063720LU01	Project_s440e03498_45samples_181031	P0105647		
