"","V1","V2"
"90","ST3GAL1","KEGG_O_GLYCAN_BIOSYNTHESIS"
"91","B4GALT5","KEGG_O_GLYCAN_BIOSYNTHESIS"
"92","C1GALT1C1
","KEGG_O_GLYCAN_BIOSYNTHESIS"
"93","HS3ST3A1","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"94","HPSE","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"95","HPSE2","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"96","GLB1","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"97","GUSB","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"98","HYAL3","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"99","GNS","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"100","HYAL4","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"101","HYAL1","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"102","HYAL2","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"103","SPAM1","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"104","HGSNAT","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"105","GALNS","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"106","IDUA","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"107","HS3ST3B1","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"108","SGSH","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"109","HEXB","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"110","NAGLU","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"111","HEXA","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"112","IDS","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"113","ARSB
","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"114","CHST2","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"115","B4GAT1","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"116","B3GNT2","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"117","CHST1","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"118","B4GALT1","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"119","B3GNT7","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"120","ST3GAL2","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"121","B4GALT3","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"122","ST3GAL1","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"123","B4GALT2","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"124","B4GALT4","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"125","CHST4","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"126","ST3GAL3","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"127","FUT8","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"128","CHST6
","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"129","MBOAT2","KEGG_GLYCEROLIPID_METABOLISM"
"130","GPAM","KEGG_GLYCEROLIPID_METABOLISM"
"131","LIPG","KEGG_GLYCEROLIPID_METABOLISM"
"132","DGKZ","KEGG_GLYCEROLIPID_METABOLISM"
"133","DGKE","KEGG_GLYCEROLIPID_METABOLISM"
"134","DGKD","KEGG_GLYCEROLIPID_METABOLISM"
"135","DGKH","KEGG_GLYCEROLIPID_METABOLISM"
"136","MBOAT1","KEGG_GLYCEROLIPID_METABOLISM"
"137","GK","KEGG_GLYCEROLIPID_METABOLISM"
"138","DGAT2","KEGG_GLYCEROLIPID_METABOLISM"
"139","GK2","KEGG_GLYCEROLIPID_METABOLISM"
"140","GLA","KEGG_GLYCEROLIPID_METABOLISM"
"141","ALDH7A1","KEGG_GLYCEROLIPID_METABOLISM"
"142","AGK","KEGG_GLYCEROLIPID_METABOLISM"
"143","TKFC","KEGG_GLYCEROLIPID_METABOLISM"
"144","AGPAT3","KEGG_GLYCEROLIPID_METABOLISM"
"145","AWAT2","KEGG_GLYCEROLIPID_METABOLISM"
"146","AGPAT4","KEGG_GLYCEROLIPID_METABOLISM"
"147","AKR1B1","KEGG_GLYCEROLIPID_METABOLISM"
"148","PNLIPRP2","KEGG_GLYCEROLIPID_METABOLISM"
"149","PNLIPRP1","KEGG_GLYCEROLIPID_METABOLISM"
"150","PNLIP","KEGG_GLYCEROLIPID_METABOLISM"
"151","DGAT1","KEGG_GLYCEROLIPID_METABOLISM"
"152","GLYCTK","KEGG_GLYCEROLIPID_METABOLISM"
"153","LPL","KEGG_GLYCEROLIPID_METABOLISM"
"154","ALDH1B1","KEGG_GLYCEROLIPID_METABOLISM"
"155","DGKQ","KEGG_GLYCEROLIPID_METABOLISM"
"156","ALDH2","KEGG_GLYCEROLIPID_METABOLISM"
"157","DGKB","KEGG_GLYCEROLIPID_METABOLISM"
"158","DGKG","KEGG_GLYCEROLIPID_METABOLISM"
"159","AKR1A1","KEGG_GLYCEROLIPID_METABOLISM"
"160","DGKA","KEGG_GLYCEROLIPID_METABOLISM"
"161","PLPP3","KEGG_GLYCEROLIPID_METABOLISM"
"162","LIPC","KEGG_GLYCEROLIPID_METABOLISM"
"163","DGKI","KEGG_GLYCEROLIPID_METABOLISM"
"164","LCLAT1","KEGG_GLYCEROLIPID_METABOLISM"
"165","GPAT3","KEGG_GLYCEROLIPID_METABOLISM"
"166","MGLL","KEGG_GLYCEROLIPID_METABOLISM"
"167","GPAT4","KEGG_GLYCEROLIPID_METABOLISM"
"168","ALDH9A1","KEGG_GLYCEROLIPID_METABOLISM"
"169","ALDH3A2","KEGG_GLYCEROLIPID_METABOLISM"
"170","PNPLA3","KEGG_GLYCEROLIPID_METABOLISM"
"171","PLPP1","KEGG_GLYCEROLIPID_METABOLISM"
"172","PLPP2","KEGG_GLYCEROLIPID_METABOLISM"
"173","AGPAT1","KEGG_GLYCEROLIPID_METABOLISM"
"174","AGPAT2","KEGG_GLYCEROLIPID_METABOLISM"
"175","CEL","KEGG_GLYCEROLIPID_METABOLISM"
"176","GPAT2","KEGG_GLYCEROLIPID_METABOLISM"
"177","LIPF
","KEGG_GLYCEROLIPID_METABOLISM"
"178","PIGP","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"179","PIGW","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"180","PIGM","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"181","PIGN","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"182","PIGS","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"183","PIGF","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"184","DPM2","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"185","PIGQ","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"186","PIGH","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"187","PIGO","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"188","PIGG","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"189","PIGZ","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"190","GPAA1","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"191","PIGU","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"192","PGAP1","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"193","PIGT","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"194","PIGK","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"195","PIGY","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"196","PIGL","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"197","PIGV","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"198","PIGB","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"199","PIGX","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"200","PIGA","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"201","GPLD1","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"202","PIGC
","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"203","PEMT","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"204","PLA2G15","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"205","GPD1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"206","GPD1L","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"207","LPGAT1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"208","GPAM","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
