"","V1","V2"
"154","ACAP1","Effector memeory CD8 T cell"
"155","APOL3","Effector memeory CD8 T cell"
"156","ARHGAP10","Effector memeory CD8 T cell"
"157","ATP10D","Effector memeory CD8 T cell"
"158","C3AR1","Effector memeory CD8 T cell"
"159","CCR5","Effector memeory CD8 T cell"
"160","CD160","Effector memeory CD8 T cell"
"161","CD55","Effector memeory CD8 T cell"
"162","CFLAR","Effector memeory CD8 T cell"
"163","CMKLR1","Effector memeory CD8 T cell"
"164","DAPP1","Effector memeory CD8 T cell"
"165","FCRL6","Effector memeory CD8 T cell"
"166","FLT3LG","Effector memeory CD8 T cell"
"167","GZMM","Effector memeory CD8 T cell"
"168","HAPLN3","Effector memeory CD8 T cell"
"169","HLA-DMB","Effector memeory CD8 T cell"
"170","HLA-DPA1","Effector memeory CD8 T cell"
"171","HLA-DPB1","Effector memeory CD8 T cell"
"172","IFI16","Effector memeory CD8 T cell"
"173","LIME1","Effector memeory CD8 T cell"
"174","LTK","Effector memeory CD8 T cell"
"175","NFKBIA","Effector memeory CD8 T cell"
"176","SETD7","Effector memeory CD8 T cell"
"177","SIK1","Effector memeory CD8 T cell"
"178","TRIB2","Effector memeory CD8 T cell"
"179","ACP5","Gamma delta T cell"
"180","AQP9","Gamma delta T cell"
"181","BTN3A2","Gamma delta T cell"
"182","C1orf54","Gamma delta T cell"
"183","CARD8","Gamma delta T cell"
"184","CCL18","Gamma delta T cell"
"185","CD209","Gamma delta T cell"
"186","CD33","Gamma delta T cell"
"187","CD36","Gamma delta T cell"
"188","CDK5","Gamma delta T cell"
"189","IL10RB","Gamma delta T cell"
"190","KLRF1","Gamma delta T cell"
"191","LGALS1","Gamma delta T cell"
"192","MAPK7","Gamma delta T cell"
"193","KLHL7","Gamma delta T cell"
"194","KRT80","Gamma delta T cell"
"195","LAMC1","Gamma delta T cell"
"196","LCORL","Gamma delta T cell"
"197","LMNB1","Gamma delta T cell"
"198","MEIS3P1","Gamma delta T cell"
"199","MPL","Gamma delta T cell"
"200","FABP1","Gamma delta T cell"
"201","FABP5","Gamma delta T cell"
"202","FADD","Gamma delta T cell"
"203","MFAP3L","Gamma delta T cell"
"204","MINPP1","Gamma delta T cell"
"205","RPS24","Gamma delta T cell"
"206","RPS7","Gamma delta T cell"
"207","RPS9","Gamma delta T cell"
"208","DBNL","Gamma delta T cell"
"209","CCL13","Gamma delta T cell"
"210","CD22","Immature B cell"
"211","CYBB","Immature B cell"
"212","FAM129C","Immature B cell"
"213","FCRL1","Immature B cell"
"214","FCRL3","Immature B cell"
"215","FCRL5","Immature B cell"
"216","FCRLA","Immature B cell"
"217","HDAC9","Immature B cell"
"218","HLA-DQA1","Immature B cell"
"219","HVCN1","Immature B cell"
"220","KIAA0226","Immature B cell"
"221","NCF1","Immature B cell"
"222","NCF1B","Immature B cell"
"223","P2RY10","Immature B cell"
"224","SP100","Immature B cell"
"225","TXNIP","Immature B cell"
"226","STAP1","Immature B cell"
"227","TAGAP","Immature B cell"
"228","ZCCHC2","Immature B cell"
"229","AICDA","Memory B cell"
"230","CCNA2","Memory B cell"
"231","CDKN3","Memory B cell"
"232","CLCN5","Memory B cell"
"233","ENPP1","Memory B cell"
"234","FCER1A","Memory B cell"
"235","FCRL4","Memory B cell"
"236","MYC","Memory B cell"
"237","RUNX2","Memory B cell"
"238","SORL1","Memory B cell"
"239","SOX5","Memory B cell"
"240","STAT5A","Memory B cell"
"241","STAT5B","Memory B cell"
"242","TLR9","Memory B cell"
"243","CCL3L1","Regulatory T cell"
"244","CD72","Regulatory T cell"
"245","CLEC5A","Regulatory T cell"
"246","FOXP3","Regulatory T cell"
"247","ITGA4","Regulatory T cell"
"248","L1CAM","Regulatory T cell"
"249","LIPA","Regulatory T cell"
"250","LRP1","Regulatory T cell"
"251","LRRC42","Regulatory T cell"
"252","MARCO","Regulatory T cell"
"253","MMP12","Regulatory T cell"
"254","MNDA","Regulatory T cell"
"255","MRC1","Regulatory T cell"
"256","MS4A6A","Regulatory T cell"
"257","PELO","Regulatory T cell"
"258","PLEK","Regulatory T cell"
"259","PRSS23","Regulatory T cell"
"260","PTGIR","Regulatory T cell"
"261","ST8SIA4","Regulatory T cell"
"262","STAB1","Regulatory T cell"
"263","B3GAT1","T follicular helper cell"
"264","CDK5R1","T follicular helper cell"
"265","PDCD1","T follicular helper cell"
"266","BCL6","T follicular helper cell"
"267","CD200","T follicular helper cell"
"268","CD83","T follicular helper cell"
"269","CD84","T follicular helper cell"
"270","FGF2","T follicular helper cell"
"271","GPR18","T follicular helper cell"
"272","CEBPA","T follicular helper cell"
"273","CECR1","T follicular helper cell"
"274","CLEC10A","T follicular helper cell"
"275","CLEC4A","T follicular helper cell"
"276","CSF1R","T follicular helper cell"
"277","CTSS","T follicular helper cell"
"278","DMN","T follicular helper cell"
"279","DPP4","T follicular helper cell"
"280","LRRC32","T follicular helper cell"
"281","MC5R","T follicular helper cell"
"282","MICA","T follicular helper cell"
"283","NCAM1","T follicular helper cell"
"284","NCR2","T follicular helper cell"
"285","NRP1","T follicular helper cell"
"286","PDCD1LG2","T follicular helper cell"
"287","PDCD6","T follicular helper cell"
"288","PRDX1","T follicular helper cell"
"289","RAE1","T follicular helper cell"
"290","RAET1E","T follicular helper cell"
"291","SIGLEC7","T follicular helper cell"
"292","SIGLEC9","T follicular helper cell"
"293","TYRO3","T follicular helper cell"
"294","CHST12","T follicular helper cell"
"295","CLIC3","T follicular helper cell"
"296","IVNS1ABP","T follicular helper cell"
"297","KIR2DL2","T follicular helper cell"
"298","LGMN","T follicular helper cell"
"299","CD70","Type 1 T helper cell"
"300","TBX21","Type 1 T helper cell"
"301","ADAM8","Type 1 T helper cell"
"302","AHCYL2","Type 1 T helper cell"
"303","ALCAM","Type 1 T helper cell"
"304","B3GALNT1","Type 1 T helper cell"
"305","BBS12","Type 1 T helper cell"
"306","BST1","Type 1 T helper cell"
"307","CD151","Type 1 T helper cell"
"308","CD47","Type 1 T helper cell"
"309","CD48","Type 1 T helper cell"
"310","CD52","Type 1 T helper cell"
"311","CD53","Type 1 T helper cell"
"312","CD59","Type 1 T helper cell"
"313","CD6","Type 1 T helper cell"
"314","CD68","Type 1 T helper cell"
"315","CD7","Type 1 T helper cell"
"316","CD96","Type 1 T helper cell"
"317","CFHR3","Type 1 T helper cell"
"318","CHRM3","Type 1 T helper cell"
"319","CLEC7A","Type 1 T helper cell"
"320","COL23A1","Type 1 T helper cell"
"321","COL4A4","Type 1 T helper cell"
"322","COL5A3","Type 1 T helper cell"
"323","DAB1","Type 1 T helper cell"
"324","DLEU7","Type 1 T helper cell"
"325","DOC2B","Type 1 T helper cell"
"326","EMP1","Type 1 T helper cell"
"327","F12","Type 1 T helper cell"
"328","FURIN","Type 1 T helper cell"
"329","GAB3","Type 1 T helper cell"
"330","GATM","Type 1 T helper cell"
"331","GFPT2","Type 1 T helper cell"
"332","GPR25","Type 1 T helper cell"
"333","GREM2","Type 1 T helper cell"
"334","HAVCR1","Type 1 T helper cell"
"335","HSD11B1","Type 1 T helper cell"
"336","HUNK","Type 1 T helper cell"
"337","IGF2","Type 1 T helper cell"
"338","RCSD1","Type 1 T helper cell"
"339","RYR1","Type 1 T helper cell"
"340","SAV1","Type 1 T helper cell"
"341","SELE","Type 1 T helper cell"
"342","SELP","Type 1 T helper cell"
"343","SH3KBP1","Type 1 T helper cell"
"344","SIT1","Type 1 T helper cell"
"345","SLC35B3","Type 1 T helper cell"
"346","SIGLEC10","Type 1 T helper cell"
"347","SKAP1","Type 1 T helper cell"
"348","THUMPD2","Type 1 T helper cell"
"349","TIGIT","Type 1 T helper cell"
"350","ZEB2","Type 1 T helper cell"
"351","ENC1","Type 1 T helper cell"
"352","FAM134B","Type 1 T helper cell"
"353","FBXO30","Type 1 T helper cell"
"354","FCGR2C","Type 1 T helper cell"
"355","STAC","Type 1 T helper cell"
"356","LTC4S","Type 1 T helper cell"
"357","MAN1B1","Type 1 T helper cell"
"358","MDH1","Type 1 T helper cell"
"359","MMD","Type 1 T helper cell"
"360","RGS16","Type 1 T helper cell"
"361","IL12A","Type 1 T helper cell"
"362","P2RX5","Type 1 T helper cell"
"363","CD97","Type 1 T helper cell"
"364","ITGB4","Type 1 T helper cell"
"365","ICAM3","Type 1 T helper cell"
"366","METRNL","Type 1 T helper cell"
"367","TNFRSF1A","Type 1 T helper cell"
"368","IRF1","Type 1 T helper cell"
"369","HTR2B","Type 1 T helper cell"
"370","CALD1","Type 1 T helper cell"
"371","MOCOS","Type 1 T helper cell"
"372","TRAF3IP2","Type 1 T helper cell"
"373","TLR8","Type 1 T helper cell"
"374","TRAF1","Type 1 T helper cell"
"375","DUSP14","Type 1 T helper cell"
"376","IL17A","Type 17 T helper cell"
"377","IL17RA","Type 17 T helper cell"
"378","C2CD4A","Type 17 T helper cell"
"379","C2CD4B","Type 17 T helper cell"
"380","CA2","Type 17 T helper cell"
"381","CCDC65","Type 17 T helper cell"
"382","CEACAM3","Type 17 T helper cell"
"383","IL17C","Type 17 T helper cell"
"384","IL17F","Type 17 T helper cell"
"385","IL17RC","Type 17 T helper cell"
"386","IL17RE","Type 17 T helper cell"
"387","IL23A","Type 17 T helper cell"
"388","ILDR1","Type 17 T helper cell"
"389","LONRF3","Type 17 T helper cell"
"390","SH2D6","Type 17 T helper cell"
"391","TNIP2","Type 17 T helper cell"
"392","ABCA1","Type 17 T helper cell"
"393","ABCB1","Type 17 T helper cell"
"394","ADAMTS12","Type 17 T helper cell"
"395","ANK1","Type 17 T helper cell"
"396","ANKRD22","Type 17 T helper cell"
"397","B3GALT2","Type 17 T helper cell"
"398","CAMTA1","Type 17 T helper cell"
"399","CCR9","Type 17 T helper cell"
"400","CD40","Type 17 T helper cell"
"401","GPR44","Type 17 T helper cell"
"402","IFT80","Type 17 T helper cell"
"403","ASB2","Type 2 T helper cell"
"404","CSRP2","Type 2 T helper cell"
"405","DAPK1","Type 2 T helper cell"
